latitude	longitude	altitude_feet	altitude_meters	speed_kmh	speed_kts	speed_mph	verticalSpeed_fpm	verticalSpeed_ms	heading	squawk	timestamp
42.719879	143.225571	1500	457	179.6	97	111.6	1216	6.2	157	0	1590466112
42.717731	143.226715	1600	488	179.6	97	111.6	1024	5.2	157	0	1590466118
42.712795	143.229721	1800	549	187.1	101	116.2	1088	5.5	156	0	1590466129
42.708527	143.232758	1975	602	192.6	104	119.7	768	3.9	144	0	1590466139
42.706741	143.235443	2050	625	198.2	107	123.1	832	4.2	124	0	1590466145
42.703484	143.244598	2275	693	209.3	113	130	960	4.9	114	1200	1590466160
42.702026	143.248734	2400	732	207.4	112	128.9	1088	5.5	115	1200	1590466166
42.699669	143.255524	2575	785	213	115	132.3	896	4.6	114	1200	1590466177
42.697403	143.262222	2775	846	213	115	132.3	960	4.9	113	1200	1590466187
42.695343	143.268967	2875	876	224.1	121	139.2	640	3.3	112	1200	1590466197
42.693104	143.276474	3025	922	229.6	124	142.7	832	4.2	112	1200	1590466207
42.690903	143.283569	3175	968	231.5	125	143.8	960	4.9	112	1200	1590466217
42.689484	143.290863	3325	1013	235.2	127	146.1	896	4.6	94	1200	1590466227
42.689484	143.295609	3425	1044	235.2	127	146.1	1088	5.5	88	1200	1590466233
42.689621	143.303909	3650	1113	231.5	125	143.8	1216	6.2	89	1200	1590466244
42.689938	143.315186	3900	1189	225.9	122	140.4	960	4.9	86	1200	1590466258
42.690311	143.323486	4075	1242	227.8	123	141.5	960	4.9	86	1200	1590466268
42.690731	143.331207	4175	1273	240.8	130	149.6	64	0.3	85	1200	1590466278
42.69104	143.336319	4175	1273	242.6	131	150.8	-64	-0.3	85	1200	1590466284
42.691475	143.343216	4200	1280	270.4	146	168	192	1	84	1200	1590466292
42.691864	143.349228	4225	1288	281.5	152	174.9	256	1.3	85	1200	1590466298
42.692173	143.354523	4225	1288	292.6	158	181.8	-192	-1	85	1200	1590466304
42.692497	143.360916	4225	1288	300	162	186.4	192	1	85	1200	1590466311
42.688202	143.516586	4275	1303	294.5	159	183	192	1	89	1200	1590466464
42.689713	143.522583	4275	1303	287.1	155	178.4	192	1	61	1200	1590466471
42.692547	143.526917	4250	1295	285.2	154	177.2	-256	-1.3	39	1200	1590466477
42.696259	143.529327	4275	1303	272.2	147	169.2	384	2	16	1200	1590466483
42.702301	143.530197	4350	1326	261.1	141	162.3	256	1.3	2	1200	1590466492
42.70784	143.530579	4325	1318	266.7	144	165.7	-256	-1.3	3	1200	1590466500
42.712509	143.530945	4300	1311	272.2	147	169.2	-128	-0.7	3	1200	1590466508
42.721176	143.531586	4325	1318	275.9	149	171.5	256	1.3	359	1200	1590466521
42.729553	143.531265	4275	1303	283.4	153	176.1	-256	-1.3	358	1200	1590466532
42.73407	143.531189	4275	1303	290.8	157	180.7	-128	-0.7	359	1200	1590466538
42.738445	143.531143	4275	1303	298.2	161	185.3	320	1.6	359	1200	1590466544
42.742859	143.531006	4250	1295	298.2	161	185.3	-512	-2.6	358	1200	1590466551
42.747574	143.530884	4250	1295	294.5	159	183	64	0.3	358	1200	1590466557
42.752132	143.530685	4250	1295	287.1	155	178.4	0	0	357	1200	1590466563
42.762653	143.529984	4225	1288	281.5	152	174.9	-64	-0.3	356	1200	1590466578
42.766983	143.529449	4250	1295	279.7	151	173.8	192	1	350	1200	1590466584
42.770874	143.52739	4225	1288	274.1	148	170.3	-64	-0.3	329	1200	1590466590
42.774059	143.523788	4225	1288	270.4	146	168	0	0	316	1200	1590466596
42.77713	143.519699	4225	1288	266.7	144	165.7	64	0.3	315	1200	1590466603
42.781357	143.51416	4225	1288	263	142	163.4	-192	-1	316	1200	1590466611
42.784195	143.510529	4225	1288	266.7	144	165.7	-64	-0.3	316	1200	1590466618
42.788727	143.50473	4225	1288	263	142	163.4	128	0.7	316	1200	1590466626
42.791702	143.500992	4250	1295	259.3	140	161.1	256	1.3	317	1200	1590466634
42.797424	143.493866	4275	1303	259.3	140	161.1	128	0.7	317	1200	1590466645
42.800312	143.490189	4300	1311	259.3	140	161.1	192	1	315	1200	1590466651
42.8032	143.486298	4275	1303	259.3	140	161.1	-192	-1	314	1200	1590466657
42.80603	143.482437	4275	1303	259.3	140	161.1	-128	-0.7	315	1200	1590466663
42.808834	143.478638	4275	1303	259.3	140	161.1	-64	-0.3	315	1200	1590466669
42.811569	143.474869	4250	1295	253.7	137	157.7	-128	-0.7	314	1200	1590466675
42.814186	143.471313	4225	1288	250	135	155.4	-64	-0.3	315	1200	1590466681
42.816887	143.467712	4250	1295	244.5	132	151.9	64	0.3	315	1200	1590466688
42.81958	143.464005	4225	1288	240.8	130	149.6	-192	-1	315	1200	1590466694
42.82196	143.460815	4225	1288	231.5	125	143.8	128	0.7	314	1200	1590466700
42.826523	143.454498	4250	1295	213	115	132.3	128	0.7	314	1200	1590466711
42.829037	143.451096	4250	1295	201.9	109	125.4	-64	-0.3	315	1200	1590466719
42.833267	143.445679	4250	1295	187.1	101	116.2	-128	-0.7	318	1200	1590466730
42.835228	143.443314	4225	1288	181.5	98	112.8	-64	-0.3	317	1200	1590466736
42.837387	143.440689	4200	1280	168.5	91	104.7	0	0	318	1200	1590466742
42.839184	143.438553	4225	1288	157.4	85	97.8	192	1	319	1200	1590466748
42.841003	143.436417	4200	1280	155.6	84	96.7	-512	-2.6	317	1200	1590466754
42.842815	143.434296	4125	1257	157.4	85	97.8	-512	-2.6	320	1200	1590466760
42.844391	143.431808	4075	1242	159.3	86	99	-640	-3.3	300	1200	1590466766
42.843933	143.426575	4150	1265	105.6	57	65.6	192	1	231	1200	1590466779
42.842117	143.422592	4025	1227	163	88	101.3	-192	-1	243	1200	1590466788
42.840363	143.418015	4150	1265	179.6	97	111.6	448	2.3	242	1200	1590466797
42.83844	143.4133	4200	1280	174.1	94	108.2	448	2.3	240	1200	1590466806
42.837158	143.410355	4200	1280	168.5	91	104.7	-64	-0.3	240	1200	1590466812
42.83588	143.407288	4200	1280	164.8	89	102.4	-128	-0.7	239	1200	1590466818
42.834549	143.40448	4175	1273	161.1	87	100.1	-256	-1.3	237	1200	1590466824
42.833084	143.401733	4125	1257	163	88	101.3	-256	-1.3	225	1200	1590466830
42.828186	143.399948	4100	1250	159.3	86	99	320	1.6	169	1200	1590466842
42.826244	143.401016	4125	1257	148.2	80	92.1	128	0.7	148	1200	1590466848
42.8241	143.40303	4025	1227	183.3	99	113.9	-1152	-5.9	147	1200	1590466854
42.821495	143.405319	4000	1219	207.4	112	128.9	256	1.3	147	1200	1590466860
42.818748	143.407883	4050	1234	225.9	122	140.4	320	1.6	145	1200	1590466866
42.81601	143.410538	4100	1250	233.4	126	145	576	2.9	144	1200	1590466872
42.811386	143.415268	4225	1288	238.9	129	148.5	576	2.9	142	1200	1590466882
42.808414	143.418472	4200	1280	253.7	137	157.7	-256	-1.3	142	1200	1590466889
42.80241	143.424728	4250	1295	248.2	134	154.2	192	1	142	1200	1590466900
42.799335	143.427795	4250	1295	242.6	131	150.8	64	0.3	144	1200	1590466906
42.796356	143.430786	4250	1295	240.8	130	149.6	-128	-0.7	142	1200	1590466912
42.793285	143.43399	4250	1295	240.8	130	149.6	-128	-0.7	143	1200	1590466920
42.788727	143.437622	4225	1288	237.1	128	147.3	128	0.7	161	1200	1590466929
42.774384	143.437241	4225	1288	235.2	127	146.1	0	0	181	1200	1590466952
42.770737	143.437057	4225	1288	240.8	130	149.6	64	0.3	182	1200	1590466958
42.766937	143.436798	4225	1288	253.7	137	157.7	-64	-0.3	183	1200	1590466965
42.763073	143.436539	4200	1280	257.4	139	160	-320	-1.6	182	1200	1590466972
42.754807	143.436127	4200	1280	268.5	145	166.9	192	1	183	1200	1590466984
42.746872	143.435516	4225	1288	264.8	143	164.6	0	0	183	1200	1590466995
42.742905	143.435257	4250	1295	255.6	138	158.8	256	1.3	183	1200	1590467001
42.739014	143.434875	4275	1303	248.2	134	154.2	128	0.7	184	1200	1590467007
42.733418	143.434311	4250	1295	242.6	131	150.8	-64	-0.3	184	1200	1590467018
42.723175	143.433472	4225	1288	214.8	116	133.5	128	0.7	183	1200	1590467035
42.719971	143.433258	4200	1280	207.4	112	128.9	-448	-2.3	182	1200	1590467041
42.716995	143.433075	4200	1280	192.6	104	119.7	256	1.3	183	1200	1590467047
42.714203	143.432877	4200	1280	185.2	100	115.1	-256	-1.3	183	1200	1590467054
42.708652	143.433289	4100	1250	187.1	101	116.2	-256	-1.3	160	1200	1590467065
42.707748	143.449112	3925	1196	200	108	124.3	-576	-2.9	67	1200	1590467097
42.710236	143.457306	4000	1219	231.5	125	143.8	0	0	66	1200	1590467109
42.712704	143.464966	4175	1273	231.5	125	143.8	1088	5.5	66	1200	1590467119
42.714935	143.472137	4225	1288	250	135	155.4	-512	-2.6	67	1200	1590467129
42.717358	143.480545	4200	1280	253.7	137	157.7	64	0.3	69	1200	1590467139
42.719421	143.488556	4200	1280	257.4	139	160	128	0.7	71	1200	1590467148
42.721069	143.495239	4200	1280	255.6	138	158.8	128	0.7	71	1200	1590467156
42.722198	143.499771	4200	1280	257.4	139	160	-64	-0.3	72	1200	1590467162
42.723495	143.505234	4200	1280	257.4	139	160	0	0	70	1200	1590467168
42.725189	143.509094	4200	1280	250	135	155.4	192	1	51	1200	1590467174
42.72876	143.512405	4200	1280	242.6	131	150.8	-128	-0.7	21	1200	1590467181
42.732487	143.512741	4200	1280	233.4	126	145	0	0	352	1200	1590467187
42.735535	143.510971	4225	1288	224.1	121	139.2	256	1.3	330	1200	1590467193
42.738464	143.508667	4225	1288	224.1	121	139.2	-192	-1	329	1200	1590467200
42.742996	143.505035	4225	1288	227.8	123	141.5	64	0.3	330	1200	1590467208
42.746033	143.502777	4225	1288	225.9	122	140.4	128	0.7	331	1200	1590467214
42.757141	143.491562	4250	1295	225.9	122	140.4	-128	-0.7	320	1200	1590467239
42.759933	143.488495	4225	1288	227.8	123	141.5	-128	-0.7	320	1200	1590467245
42.76268	143.485443	4225	1288	227.8	123	141.5	-128	-0.7	321	1200	1590467252
42.765167	143.482727	4225	1288	220.4	119	136.9	64	0.3	321	1200	1590467258
42.770241	143.477295	4250	1295	200	108	124.3	192	1	321	1200	1590467269
42.772568	143.474731	4250	1295	196.3	106	122	-64	-0.3	321	1200	1590467276
42.774849	143.472305	4225	1288	192.6	104	119.7	-128	-0.7	322	1200	1590467282
42.778381	143.468704	4225	1288	175.9	95	109.3	320	1.6	323	1200	1590467291
42.780487	143.466583	4225	1288	175.9	95	109.3	-64	-0.3	323	1200	1590467297
42.784763	143.462097	4225	1288	172.2	93	107	0	0	322	1200	1590467309
42.786713	143.460098	4225	1288	166.7	90	103.6	256	1.3	323	1200	1590467316
42.790817	143.455902	4225	1288	161.1	87	100.1	64	0.3	321	1200	1590467327
42.792709	143.453918	4250	1295	161.1	87	100.1	256	1.3	324	1200	1590467333
42.794868	143.451874	4250	1295	172.2	93	107	-192	-1	323	1200	1590467340
42.796921	143.449799	4225	1288	175.9	95	109.3	-192	-1	322	1200	1590467346
42.799244	143.447403	4225	1288	175.9	95	109.3	0	0	323	1200	1590467352
42.801407	143.445114	4225	1288	174.1	94	108.2	128	0.7	322	1200	1590467358
42.803478	143.442993	4225	1288	170.4	92	105.9	64	0.3	322	1200	1590467364
42.805435	143.440994	4250	1295	166.7	90	103.6	128	0.7	323	1200	1590467370
42.807449	143.438934	4225	1288	166.7	90	103.6	-256	-1.3	323	1200	1590467376
42.809509	143.436676	4225	1288	168.5	91	104.7	192	1	315	1200	1590467382
42.810928	143.433899	4225	1288	166.7	90	103.6	64	0.3	297	1200	1590467388
42.811569	143.430725	4250	1295	161.1	87	100.1	256	1.3	277	1200	1590467394
42.81144	143.427292	4275	1303	164.8	89	102.4	0	0	260	1200	1590467401
42.809784	143.422745	4275	1303	172.2	93	107	0	0	233	1200	1590467409
42.807816	143.420334	4275	1303	174.1	94	108.2	256	1.3	214	1200	1590467415
42.805481	143.418839	4300	1311	177.8	96	110.5	128	0.7	199	1200	1590467421
42.802643	143.418213	4300	1311	185.2	100	115.1	64	0.3	182	1200	1590467427
42.79985	143.418274	4300	1311	185.2	100	115.1	64	0.3	178	1200	1590467434
42.795685	143.418457	4275	1303	190.8	103	118.5	-384	-2	177	1200	1590467443
42.79248	143.418655	4250	1295	192.6	104	119.7	-192	-1	179	1200	1590467449
42.788361	143.418655	4225	1288	187.1	101	116.2	-64	-0.3	179	1200	1590467459
42.782639	143.418579	4225	1288	181.5	98	112.8	-128	-0.7	182	1200	1590467470
42.779938	143.418457	4175	1273	188.9	102	117.4	-576	-2.9	181	1200	1590467476
42.777084	143.418396	4175	1273	187.1	101	116.2	0	0	180	1200	1590467482
42.774292	143.418335	4175	1273	185.2	100	115.1	0	0	180	1200	1590467488
42.7715	143.418396	4175	1273	188.9	102	117.4	-64	-0.3	178	1200	1590467494
42.768448	143.418457	4175	1273	194.5	105	120.8	-64	-0.3	178	1200	1590467500
42.765305	143.418594	4175	1273	196.3	106	122	192	1	180	1200	1590467507
42.762421	143.418594	4225	1288	200	108	124.3	576	2.9	180	1200	1590467513
42.756226	143.418152	4250	1295	201.9	109	125.4	0	0	182	1200	1590467525
42.753342	143.41803	4250	1295	201.9	109	125.4	-128	-0.7	180	1200	1590467531
42.750183	143.418091	4225	1288	203.7	110	126.6	0	0	178	1200	1590467537
42.74707	143.418213	4225	1288	201.9	109	125.4	0	0	178	1200	1590467543
42.744141	143.418213	4225	1288	200	108	124.3	0	0	179	1200	1590467549
42.741211	143.418335	4225	1288	198.2	107	123.1	0	0	176	1200	1590467555
42.738052	143.418518	4250	1295	196.3	106	122	256	1.3	176	1200	1590467561
42.735233	143.418716	4275	1303	196.3	106	122	256	1.3	177	1200	1590467567
42.732208	143.418976	4325	1318	196.3	106	122	576	2.9	176	1200	1590467573
42.72406	143.421463	4450	1356	200	108	124.3	320	1.6	171	1200	1590467590
42.719559	143.435257	4625	1410	201.9	109	125.4	256	1.3	89	1200	1590467613
42.719604	143.438995	4650	1417	203.7	110	126.6	320	1.6	88	1200	1590467619
42.71973	143.443573	4700	1433	201.9	109	125.4	576	2.9	87	1200	1590467626
42.719925	143.451538	4700	1433	207.4	112	128.9	-128	-0.7	88	1200	1590467638
42.720013	143.455963	4675	1425	205.6	111	127.7	64	0.3	88	1200	1590467644
42.720196	143.464584	4725	1440	201.9	109	125.4	-128	-0.7	89	1200	1590467655
